id,name,url,type,primary_use,address,neighbourhood,ownership,area,capacity,active_space,longitude,latitiude
137,Goh Ballet Academy,www.gohballet.com,Educational,Educational Institution,"2345 Main St, Vancouver, BC, V5T 3C9",Mount Pleasant,Privately Owned,12000,,Yes,-123.101297,49.263875
138,Goldcorp Centre for the Arts SFU,www.sfu.ca,Educational,Educational Institution,"149 W Hastings St, Vancouver, BC, V6B 1H4",Downtown,Other,125000,,Yes,-123.108696,49.28243
139,Granville Fine Arts,www.granvillefineart.com?,Museum/Gallery,Museum/Gallery,"2447 Granville St, Vancouver, BC, V6H 3G5",Fairview,Privately Owned,,,Yes,-123.1386339,49.2638926
140,Granville Island,,Community Space,Plaza/Park/Band Shell," , Vancouver, BC, ",Fairview,Government,,,Yes,-123.134845,49.269463
141,Granville Island Gallery,www.granvilleislandgallery.com?,Museum/Gallery,Museum/Gallery,"1494 Old Bridge St, Vancouver, BC, V6H 3S6 ",Fairview,Government,,,Yes,-123.134769,49.270213
142,Granville Street/ Entertainment District,,Community Space,Plaza/Park/Band Shell," , Vancouver, BC, ",Downtown,City of Vancouver,,,Yes,-123.11966,49.281457
143,Great Northern Way Scene Shop,www.gnwshop.ca?,Studio/Rehearsal ,Workshop,"281 Industrial, Vancouver, BC, V5A 2P2",Strathcona,City of Vancouver,,,Yes,-123.098432,49.270087
144,Green Thumb Theatre for Young People- Studio 1,www.greenthumb.bc.ca,Studio/Rehearsal ,Rehearsal Studio,"5560 Mckinnon St, Vancouver, BC, V5R 0B6",Renfrew-Collingwood,Privately Owned,2030,,Yes,-123.038613,49.234069
145,Green Thumb Theatre For Young People- Studio 2,,Studio/Rehearsal ,Rehearsal Studio,"5560 Mckinnon St, Vancouver, BC, V5R 0B6",Renfrew-Collingwood,Privately Owned,,,Yes,-123.038603,49.23408
146,Grunt Gallery,www.grunt.ca?,Museum/Gallery,Museum/Gallery,"350 E 2nd Av, Vancouver, BC, V5T 4R8",Mount Pleasant,Non-Profit,1350,,Yes,-123.09715,49.26676
147,H.R. Macmillan Space Centre,http://www.spacecentre.ca/,Museum/Gallery,Garden/Aquarium/Science Centre,"1100 Chestnut St, Vancouver, BC, V6J 3J9",Kitsilano,City of Vancouver,,,Yes,-123.144299,49.276361
